Query,Dimensione,Tempo della prima esecuzione (ms),Tempo di esecuzione medio (ms),Intervallo di confidenza inferiore (ms),Intervallo di confidenza superiore (ms)
Query 1,25%,4.191160202026367,4.232279459635417,3.354814166585678,5.109744752685156
Query 2,25%,16.77703857421875,3.7365595499674478,3.412556990687218,4.060562109247678
Query 3,25%,3.458261489868164,2.6185433069864907,2.4611199674526154,2.775966646520366
Query 4,25%,1.3585090637207031,1.529208819071452,1.3853018817275706,1.6731157564153332
Query 1,50%,1.4078617095947266,1.4020999272664387,1.2152000092346031,1.5889998452982743
Query 2,50%,9.546279907226562,5.514073371887207,5.226994128324544,5.80115261544987
Query 3,50%,5.097389221191406,4.754336675008138,4.469026468939482,5.039646881076793
Query 4,50%,2.275705337524414,2.0544052124023438,1.8013408206463968,2.3074696041582907
Query 1,75%,1.224517822265625,0.849461555480957,0.7138965663960681,0.9850265445658459
Query 2,75%,12.626171112060547,7.033244768778483,6.76401541488208,7.302474122674886
Query 3,75%,6.329536437988281,5.851093928019206,5.608819418270206,6.0933684377682065
Query 4,75%,3.427743911743164,2.158514658610026,1.9652080868292785,2.3518212303907733
Query 1,100%,1.9545555114746094,0.8587280909220377,0.7592157030393323,0.9582404788047432
Query 2,100%,12.260913848876953,9.896556536356607,8.982479123756674,10.810633948956541
Query 3,100%,18.256425857543945,9.042000770568848,7.880940268676218,10.203061272461477
Query 4,100%,2.6204586029052734,2.153174082438151,2.038690532196522,2.26765763267978
